adverb	key	usage	definition	type
unassertively	unassertively%4:02:00::	unassertively, she always follows her husband's suggestions	in an unassertive manner	manner
unassumingly	unassumingly%4:02:00::	she is unassumingly skeptical of her own work	in an unassuming manner	manner
unattainably	unattainably%4:02:00::	this house is unattainably expensive	in an unattainable manner or to an unattainable degree	manner
unattractively	unattractively%4:02:00::	she was unattractively dressed last night	in an unattractive manner	manner
unavoidably	unavoidably%4:02:00::	the situation slid inescapably toward disaster	by necessity	
unawares	unawares%4:02:00::	rain caught them unawares	suddenly and unexpectedly; ; - A.Lincoln	
unawares	unawares%4:02:01::	came upon the diamond unawares	without forethought or plan; inadvertently	
unawares	unawares%4:02:02::	I was caught short	at a disadvantage	
unbearably	unbearably%4:02:00::	it was unbearably hot in the room	to an unbearable degree	
unbecomingly	unbecomingly%4:02:00::		without decorousness	
unbeknown	unbeknown%4:02:00::	unbeknownst to me, she made all the arrangements	without someone's knowledge	
unbeknownst	unbeknownst%4:02:00::	unbeknownst to me, she made all the arrangements	without someone's knowledge	
unbelievably	unbelievably%4:02:00::	he was unbelievably angry	in an unbelievable manner	manner
unbelievably	unbelievably%4:02:03::	behind you the coastal hills plunge to the incredibly blue sea backed by the Turkish mountains	not easy to believe	
unbelievingly	unbelievingly%4:02:00::	the woman looked up at her incredulously	in an incredulous manner	manner
unblinkingly	unblinkingly%4:02:00::	the convicted killer listened unblinkingly to the reading of his sentence	showing no emotion	
unblushingly	unblushingly%4:02:00::	his principal opponent unblushingly declared victory before the ballots had been counted	without blushing	
uncannily	uncannily%4:02:00::	uncannily human robots	in an uncanny manner	manner
unceasingly	unceasingly%4:02:00::	dance inspires him ceaselessly to strive higher and higher toward the shining pinnacle of perfection that is the goal of every artiste	with unflagging resolve	
unceremoniously	unceremoniously%4:02:00::	he was dismissed unceremoniously	in an unceremonious manner	manner
uncertainly	uncertainly%4:02:00::	he paused uncertainly	showing lack of certainty	
uncertainly	uncertainly%4:02:01::	he walked unsteadily toward the exit	in an unsteady manner	manner
unchangeably	unchangeably%4:02:00::	his views were unchangeably fixed	in an unalterable and unchangeable manner	manner
uncharacteristically	uncharacteristically%4:02:00::	he was uncharacteristically cool	in uncharacteristic manner	
unchivalrously	unchivalrously%4:02:00::	unchivalrously, the husbands who had to provide such innocent indulgences eventually began to count the costs	in an unchivalrous and ungallant manner	manner
uncivilly	uncivilly%4:02:00::	he treats his former wife uncivilly	in an uncivil manner	manner
unclearly	unclearly%4:02:00::		in a manner that is unclear	
unco	unco%4:02:00::	she was unusually tall	to a remarkable degree or extent	
uncomfortably	uncomfortably%4:02:00::	she lay on the couch, her body uncomfortably twisted	in physical discomfort	
uncommonly	uncommonly%4:02:00::	a common remedy is uncommonly difficult to find	exceptionally	
uncomparably	uncomparably%4:02:00::	she is incomparably gifted	in an incomparable manner or to an incomparable degree	manner
uncomplainingly	uncomplainingly%4:02:00::	an equally gallant little wife and mother uncomplainingly keeping up the production of tasty and nourishing meals	without complaining	
uncompromisingly	uncompromisingly%4:02:00::		in an uncompromising manner	manner
unconcernedly	unconcernedly%4:02:00::	war was breaking out in Europe, but she unconcernedly planned for a holiday	in an unconcerned manner	manner
unconditionally	unconditionally%4:02:00::	he flatly denied the charges	in an unqualified manner	manner
unconditionally	unconditionally%4:02:02::	he accepted the offer unconditionally	not subject to a condition	
unconsciously	unconsciously%4:02:00::	she jumped up unconsciously when he entered the room	without awareness	
unconstitutionally	unconstitutionally%4:02:00::	the president acted unconstitutionally	in an unconstitutional manner	manner
uncontrollably	uncontrollably%4:02:00::	she laughed uncontrollably	in an uncontrolled manner	manner
uncontroversially	uncontroversially%4:02:00::		not involving any controversy	
unconventionally	unconventionally%4:02:00::	she always behaves rather unconventionally	in an unconventional manner	manner
unconvincingly	unconvincingly%4:02:00::	he argued unconvincingly	in an unconvincing manner	manner
uncouthly	uncouthly%4:02:00::	uncouthly, he told stories that made everybody at the table wince	in an uncouth manner	manner
uncritically	uncritically%4:02:00::	he accepted her decisions uncritically	in an uncritical manner	manner
unctuously	unctuously%4:02:00::		in an unctuous manner	manner
undecipherably	undecipherably%4:02:00::	this student writes illegibly	in an illegible manner	manner
undemocratically	undemocratically%4:02:00::	undemocratically, he made all the important decisions without his colleagues	in an undemocratic manner	manner
undeniably	undeniably%4:02:00::	she is undeniably the most gifted student in the class	to an undeniable degree or in an undeniable manner	manner
undependably	undependably%4:02:00::		in an unfaithful undependable unreliable manner	manner
under	under%4:02:00::	see under for further discussion	further down	
under	under%4:02:01::	get under quickly!	down below	
under	under%4:02:02::	the sun went under	below the horizon	
under	under%4:02:03::	fifty dollars or under	below some quantity or limit	
under	under%4:02:04::	we must keep our disappointment under	in or into a state of subordination or subjugation	
under	under%4:02:05::	their competitors went under	down to defeat, death, or ruin	
under	under%4:02:06::	this will put the patient under	into unconsciousness	
under	under%4:02:07::	children six and under will be admitted free	through a range downward	
under_arms	under_arms%4:02:00::		armed and prepared for fighting	
under_it	under_it%4:02:00::	the headings and the items listed thereunder	under that	
under_that	under_that%4:02:00::	the headings and the items listed thereunder	under that	
under_the_circumstances	under_the_circumstances%4:02:00::	under the circumstances I cannot buy the house	because of prevailing conditions	
under_way	under_way%4:02:00::	the ship got under way	in motion; set in motion	
underarm	underarm%4:02:00::	throwing a ball underarm	with the hand swung below shoulder level	
underfoot	underfoot%4:02:00::	trampled the beans underfoot	under the feet	
underfoot	underfoot%4:02:01::	a house with children and pets and toys always underfoot	in the way and hindering progress	
underground	underground%4:02:00::	water flowing underground	beneath the surface of the earth	
underground	underground%4:02:01::	the organization was driven underground	in or into hiding or secret operation	
underhand	underhand%4:02:00::	throwing a ball underarm	with the hand swung below shoulder level	
underhand	underhand%4:02:01::	Mean revenge, committed underhand	slyly and secretly; - John Donne; - C.G.Bowers	
underhandedly	underhandedly%4:02:00::	Mean revenge, committed underhand	slyly and secretly; - John Donne; - C.G.Bowers	
underneath	underneath%4:02:00::	we could see the original painting underneath	under or below an object or a surface; at a lower place or level; directly beneath	
underneath	underneath%4:02:01::	a chest of drawers all scratched underneath	on the lower or downward side; on the underside of	
understandably	understandably%4:02:00::	the foreigner spoke to us quite intelligibly	in an intelligible manner	manner
understandingly	understandingly%4:02:00::	she nodded understandingly	with understanding	
undeservedly	undeservedly%4:02:00::	the team chalked up another victory, the last one quite undeservedly, in my opinion	in an unmerited manner	manner
undesirably	undesirably%4:02:00::	he was unwantedly friendly	in an undesirable manner	manner
undiplomatically	undiplomatically%4:02:00::	she declined the invitation undiplomatically	without diplomacy; in an undiplomatic manner	manner
undisputedly	undisputedly%4:02:00::	you write as if this fact whilst inarguably forever condemning me to the ranks of Bohemianism nevertheless earned for me the right of entry into any company	in an unarguable and undisputed manner	manner
undoubtedly	undoubtedly%4:02:00::	it's undoubtedly very beautiful	without doubt; certainly	
undramatically	undramatically%4:02:00::		in an undramatic manner	manner
unduly	unduly%4:02:00::	she was unduly pessimistic about her future	to an undue degree	
uneasily	uneasily%4:02:00::	we watched anxiously	with anxiety or apprehension	
unemotionally	unemotionally%4:02:00::	the defendant stared unemotionally at the victim's family	in an unemotional manner	manner
unendingly	unendingly%4:02:00::	dance inspires him ceaselessly to strive higher and higher toward the shining pinnacle of perfection that is the goal of every artiste	with unflagging resolve	
unenergetically	unenergetically%4:02:00::	he hung around the house lethargically	without energy; in a lethargic manner	manner
unenthusiastically	unenthusiastically%4:02:00::	the children opened the presents unenthusiastically	without enthusiasm; showing no enthusiasm	
unequally	unequally%4:02:02::	profits were distributed unevenly	in an unequal or partial manner	manner
unequivocally	unequivocally%4:02:01::	she stated her intentions unequivocally	in an unambiguous manner	manner
unerringly	unerringly%4:02:00::	he unerringly fixed things for us	without making errors	
unethically	unethically%4:02:00::	he behaved unethically	in an unethical manner	manner
unevenly	unevenly%4:02:00::		in an uneven and irregular way	
unevenly	unevenly%4:02:01::	profits were distributed unevenly	in an unequal or partial manner	manner
unevenly	unevenly%4:02:02::	I took the cigarette he offered, drawing at it raggedly	in a ragged uneven manner	manner
uneventfully	uneventfully%4:02:00::	the space shuttle landed uneventfully	in an uneventful manner	manner
unexcitingly	unexcitingly%4:02:00::	this painting was nothing more but an unexcitingly grey canvas with a few red speckles	in an unexciting manner	manner
unexpectedly	unexpectedly%4:02:00::	they met accidentally	without advance planning	
unexpectedly	unexpectedly%4:02:01::	her brother showed up at the wedding out of the blue	in a way that was not expected	
unfailingly	unfailingly%4:02:00::		without fail	
unfairly	unfairly%4:02:00::	they dealt with him unfairly	in an unfair manner	manner
unfaithfully	unfaithfully%4:02:00::		in an unfaithful undependable unreliable manner	manner
unfalteringly	unfalteringly%4:02:00::	he clung to the past determinedly	with determination; in a determined manner	manner
unfashionably	unfashionably%4:02:00::	she seemed to make a point of being unfashionably dressed	in an unfashionable manner	manner
unfavorably	unfavorably%4:02:00::	he reviewed the play unfavorably	showing disapproval; in a disparaging way	
unfavourably	unfavourably%4:02:00::	he reviewed the play unfavorably	showing disapproval; in a disparaging way	
unfeelingly	unfeelingly%4:02:00::	unfeelingly, she required her maid to work on Christmas Day	without compassionate feelings	
unfeelingly	unfeelingly%4:02:01::	he callously exploited their feelings	in a callous way	
unfeignedly	unfeignedly%4:02:00::	she praised him sincerely for his victory	with sincerity; without pretense	
unforgettably	unforgettably%4:02:00::	Horowitz could play Chopin memorably	in a memorable manner	manner
unforgivably	unforgivably%4:02:00::	he was inexcusably cruel to his wife	in an unpardonable manner or to an unpardonable degree	manner
unforgivingly	unforgivingly%4:02:00::	unforgivingly, he insisted that she pay her debt to the last penny	without forgiveness; in an unforgiving manner	manner
unfortunately	unfortunately%4:02:00::	unfortunately it rained all day	by bad luck	
ungracefully	ungracefully%4:02:01::	they moved woodenly	without grace; rigidly	
ungraciously	ungraciously%4:02:00::	they moved woodenly	without grace; rigidly	
ungrammatically	ungrammatically%4:02:00::	this child speaks ungrammatically	in an ungrammatical manner	manner
ungratefully	ungratefully%4:02:00::		in an ungrateful manner	manner
ungrudgingly	ungrudgingly%4:02:00::	he ungrudgingly agreed to pay for everybody's dinner when the guests found themselves without cash	in a generous and ungrudging manner	manner
unhappily	unhappily%4:02:00::	they were unhappily married	in an unpleasant way	
unhappily	unhappily%4:02:01::	sadly he died before he could see his grandchild	in an unfortunate way	
unharmoniously	unharmoniously%4:02:00::	the piece ended discordantly	in a discordant manner	manner
unhelpfully	unhelpfully%4:02:00::	he stood by unhelpfully while the house burned down	in an unhelpful manner	manner
unhesitatingly	unhesitatingly%4:02:00::	she said yes unhesitatingly	without hesitation	
unhurriedly	unhurriedly%4:02:00::	she proceeded unhurriedly	without haste	
unhygienically	unhygienically%4:02:00::	the meat is unhygienically processed on wooden tables	in an unhygienic manner	manner
uniformly	uniformly%4:02:00::	a uniformly bright surface	in a uniform manner	manner
unilaterally	unilaterally%4:02:00::	they worked out an agreement unilaterally	in a unilateral manner; by means of one part or party	manner
unimaginably	unimaginably%4:02:00::		to an unimaginable extent	
unimaginatively	unimaginatively%4:02:00::	the stage sets were designed rather unimaginatively	without imagination	
unimaginatively	unimaginatively%4:02:02::	I applied my attention prosaically to my routine	in a matter-of-fact manner	manner
unimpeachably	unimpeachably%4:02:00::	Fred Winter is unquestionably the jockey to follow	without question	
unimpressively	unimpressively%4:02:00::	she scored unimpressively low in the first round of the competition	in an unimpressive manner	manner
uninformatively	uninformatively%4:02:00::	`I can't tell you when the manager will arrive,' he said rather uninformatively	in an uninformative manner	manner
uninstructively	uninstructively%4:02:00::	`I can't tell you when the manager will arrive,' he said rather uninformatively	in an uninformative manner	manner
unintelligently	unintelligently%4:02:00::	he acted rather unintelligently in this crisis	in an unintelligent manner	manner
unintelligibly	unintelligibly%4:02:00::	the foreigners spoke unintelligibly	in an unintelligible manner	manner
unintentionally	unintentionally%4:02:00::	she hit him unintentionally	without intention; in an unintentional manner	manner
uninterestingly	uninterestingly%4:02:00::		in an uninteresting manner	manner
uninterruptedly	uninterruptedly%4:02:00::	this pleasant state of affairs had continued peacefully and uninterruptedly for many years	without interruption	
uninvitedly	uninvitedly%4:02:00::	the women arrived uninvitedly	without invitation	
uniquely	uniquely%4:02:00::	he could determine uniquely the properties of the compound	so as to be unique	
unitedly	unitedly%4:02:00::	we worked together on the project	with cooperation and interchange	
universally	universally%4:02:00::	people universally agree on this	everywhere	
unjustifiably	unjustifiably%4:02:00::	he is unjustifiably harsh on her	without any excuse	
unjustly	unjustly%4:02:00::	he was unjustly singled out for punishment	in an unjust manner	manner
unkindly	unkindly%4:02:00::	The teacher treats the children unkindly	in an unkind manner or with unkindness	manner
unknowingly	unknowingly%4:02:00::	he unwittingly deleted the references	without knowledge or intention	
unlawfully	unlawfully%4:02:00::	they were unlawfully married	not conforming to the law	
unluckily	unluckily%4:02:00::	unfortunately it rained all day	by bad luck	
unmanageably	unmanageably%4:02:00::	`This house is unmanageably large,' she complained	so as to be unmanageable	
unmanfully	unmanfully%4:02:00::		without qualities thought to befit a man	
unmanly	unmanly%4:02:00::		without qualities thought to befit a man	
unmelodiously	unmelodiously%4:02:00::	she sings rather unmelodiously	in an unmelodious manner	manner
unmemorably	unmemorably%4:02:00::		in an unmemorable manner	manner
unmercifully	unmercifully%4:02:00::	he was mercilessly trounced by his opponent in the House	without pity; in a merciless manner	manner
unmindfully	unmindfully%4:02:00::		in a careless and thoughtless manner	manner
unmistakably	unmistakably%4:02:00::	this watercolor is unmistakably a synthesis of nature	without possibility of mistake	
unmistakably	unmistakably%4:02:01::	signally inappropriate methods	in a signal manner	manner
unmusically	unmusically%4:02:00::	She sings rather unmusically	in an unmusical manner	manner
unnaturally	unnaturally%4:02:00::	artificially induced conditions	not according to nature; not by natural means	
unnaturally	unnaturally%4:02:02::	his other arm lay across his chest, unnaturally, as if placed there deliberately, for a purpose	in an unnatural way	
unnaturally	unnaturally%4:02:03::	The early Church not unnaturally adopted the position that failure to see the messianic character of his work was really caused by the people's own blindness	in a manner at variance with what is natural or normal	
unnecessarily	unnecessarily%4:02:00::	they were unnecessarily rude	in an unnecessary manner	manner
unnecessarily	unnecessarily%4:02:01::	this marathon would exhaust him unnecessarily	without any necessity	
unnoticeably	unnoticeably%4:02:00::	the power of the Secretary of State in London increased gradually but imperceptibly	in an imperceptible manner or to an imperceptible degree	manner
unobtrusively	unobtrusively%4:02:00::	messengers were moving unobtrusively over the jet-black mountain ranges, bearing confidential tidings from sheikhdom to sheikhdom	in an unobtrusive manner	manner
unofficially	unofficially%4:02:00::	unofficially, he serves as the treasurer	not in an official capacity	
unofficially	unofficially%4:02:01::	he had made some money on the side	without official authorization	
unoriginally	unoriginally%4:02:00::		in an unoriginal manner	manner
unpalatably	unpalatably%4:02:00::	The vegetables looked unpalatably wilted	in an unpalatable way	
unpardonably	unpardonably%4:02:00::	he was inexcusably cruel to his wife	in an unpardonable manner or to an unpardonable degree	manner
unpatriotically	unpatriotically%4:02:00::	unpatriotically he contrived a way of avoiding military service	in an unpatriotic manner	manner
unpleasantly	unpleasantly%4:02:00::	he had been unpleasantly surprised	in an unpleasant manner	manner
unprecedentedly	unprecedentedly%4:02:00::		in an unprecedented manner	manner
unpredictably	unpredictably%4:02:00::	economic changes are proceeding erratically	in an erratic unpredictable manner	manner
unpretentiously	unpretentiously%4:02:00::	she was unpretentiously dressed even though she was the guest of honor	in an unpretentious manner	manner
unproductively	unproductively%4:02:00::		in an unproductive manner	manner
unprofitably	unprofitably%4:02:00::		in an unproductive manner	manner
unprofitably	unprofitably%4:02:01::		without gain or profit	
unpropitiously	unpropitiously%4:02:00::	he started his new job inauspiciously on Friday the 13th	in an inauspicious manner	manner
unqualifiedly	unqualifiedly%4:02:00::		without qualification or limitation	
unquestionably	unquestionably%4:02:00::	Fred Winter is unquestionably the jockey to follow	without question	
unquestionably	unquestionably%4:02:01::	it was decidedly too expensive	without question and beyond doubt	
unquestioningly	unquestioningly%4:02:00::	he followed his leader unquestioningly	in an unquestioning manner	manner
unquietly	unquietly%4:02:00::		with agitation or turbulence	
unreadably	unreadably%4:02:00::	this student writes illegibly	in an illegible manner	manner
unrealistically	unrealistically%4:02:00::	his expectations were unrealistically high	in an unrealistic manner	manner
unreasonably	unreasonably%4:02:00::	his prices are unreasonably high	to a degree that exceeds the bounds or reason or moderation	
unreasonably	unreasonably%4:02:01::	she reacted unreasonably when she learned she had failed	not in a reasonable or intelligent manner	manner
unreasoningly	unreasoningly%4:02:00::		in an unreasoning visceral manner	manner
unrecognisable	unrecognisable%4:02:00::	he had unrecognizably aged	beyond recognition; in an unrecognizable manner	manner
unrecognizably	unrecognizably%4:02:00::	he had unrecognizably aged	beyond recognition; in an unrecognizable manner	manner
unrelentingly	unrelentingly%4:02:00::	he worked relentlessly	in a relentless manner	manner
unreliably	unreliably%4:02:00::		in an unfaithful undependable unreliable manner	manner
unremarkably	unremarkably%4:02:00::	usually she was late	under normal conditions	
unrepentantly	unrepentantly%4:02:00::	he repeated his position unrepentantly	in an impenitent manner	manner
unreproducibly	unreproducibly%4:02:00::	he has an inimitably verbose style	in an unreproducible manner	manner
unreservedly	unreservedly%4:02:00::	I can unreservedly recommend this restaurant!	without reservation	
unrestrainedly	unrestrainedly%4:02:00::		in an unrestrained manner	manner
unrighteously	unrighteously%4:02:00::	he acted unrighteously	in an unrighteous manner	manner
unromantically	unromantically%4:02:00::	we got married, rather unromantically, in a dingy office in the town hall	without romance; in an unromantic manner	manner
unsatiably	unsatiably%4:02:00::	he clawed insatiably at the traditional precepts	in an insatiable manner; with persistence but without satisfaction	manner
unsatiably	unsatiably%4:02:01::	she was insatiably hungry	to an insatiable degree	
unsatisfactorily	unsatisfactorily%4:02:00::	He performed unsatisfactorily as a manager	in an unsatisfactory manner	manner
unscientifically	unscientifically%4:02:00::	they proceeded unscientifically when they dissected the mummy	in an unscientific way; not according to the principles of science	
unscrupulously	unscrupulously%4:02:00::	she unscrupulously uses her charm to make men do what she wants	without scruples	
unseasonably	unseasonably%4:02:00::	it was unseasonably cold	not in accordance with the season	
unselfconsciously	unselfconsciously%4:02:00::	they were naked, unshy, and unselfconsciously beautiful	in a comfortable unselfconscious manner	manner
unselfishly	unselfishly%4:02:00::	he acted unselfishly when he helped her get the promotion	in an unselfish manner	manner
unsentimentally	unsentimentally%4:02:00::	unsentimentally, she threw out her dead son's toys	in an unsentimental manner	manner
unshakably	unshakably%4:02:00::	he clung to the past determinedly	with determination; in a determined manner	manner
unsmilingly	unsmilingly%4:02:00::	unsmilingly, he greeted his in-laws	without smile; in an unsmiling manner	manner
unsociably	unsociably%4:02:00::	the new neighbors behave quite unsociably	in an unsociable manner	manner
unsparingly	unsparingly%4:02:00::	she criticized him scathingly	in a scathing and unsparing manner	manner
unspeakably	unspeakably%4:02:00::	she was looking very young tonight, and, as usual, indescribably beautiful, in a simple strapless dress of a green and white silky cotton	to an inexpressible degree	
unsportingly	unsportingly%4:02:00::		in an unsportsmanlike manner	manner
unsteadily	unsteadily%4:02:00::	he walked unsteadily toward the exit	in an unsteady manner	manner
unstintingly	unstintingly%4:02:00::		in an unstinting manner	manner
unsuccessfully	unsuccessfully%4:02:00::	she tried unsuccessfully to persuade him to buy a new car	without success	
unsuitably	unsuitably%4:02:00::	he was inappropriately dressed	in an inappropriate manner	manner
unsuspectingly	unsuspectingly%4:02:00::	he was sitting unsuspectingly beyond that wall only a few yards from the burglar	without suspicions	
unswervingly	unswervingly%4:02:00::	the ship travelled unswervingly through the night	without swerving; in a direct and unswerving manner	manner
unswervingly	unswervingly%4:02:01::	an unswervingly loyal man	in a constant and steadfast manner	manner
unsymmetrically	unsymmetrically%4:02:00::	they were asymmetrically arranged	in an asymmetrical manner	manner
unsympathetically	unsympathetically%4:02:00::	the judge listened to the accused unsympathetically	without sympathy; in an unsympathetic manner	manner
unsystematically	unsystematically%4:02:00::	his books were lined up unsystematically on the shelf	in an unsystematic manner	manner
unthinkably	unthinkably%4:02:00::		to an unimaginable extent	
unthinking	unthinking%4:02:00::	he stared thoughtlessly at the picture	in a thoughtless manner	manner
unthinkingly	unthinkingly%4:02:00::	he stared thoughtlessly at the picture	in a thoughtless manner	manner
untidily	untidily%4:02:00::	Rossi spat very deliberately, and very messily, upon Durieux's party card	in a messy, untidy manner	manner
until_now	until_now%4:02:00::	So far he hasn't called	used in negative statement to describe a situation that has existed up to this point or up to the present time	
untimely	untimely%4:02:00::	I spoke prematurely	too soon; in a premature manner	manner
untruly	untruly%4:02:00::	he silenced the whisperings which connected her, untruly and unfairly, with his separation from his wife	in a untrue manner	manner
untruthfully	untruthfully%4:02:00::	I told him, quite untruthfully, that I had just returned from leave	in a mendacious and untruthful manner	manner
untypically	untypically%4:02:00::	she was atypically quiet	in a manner that is not typical	
ununderstandably	ununderstandably%4:02:00::	the foreigners spoke unintelligibly	in an unintelligible manner	manner
unusually	unusually%4:02:00::	she was unusually tall	to a remarkable degree or extent	
unutterably	unutterably%4:02:00::	she was looking very young tonight, and, as usual, indescribably beautiful, in a simple strapless dress of a green and white silky cotton	to an inexpressible degree	
unwantedly	unwantedly%4:02:00::	he was unwantedly friendly	in an undesirable manner	manner
unwarily	unwarily%4:02:00::		without heed or caution	
unwarrantably	unwarrantably%4:02:00::	in this painting, the relationship of the upper part of the body to the lower is uneasy and the right thigh seems unwarrantably stressed	in an unwarrantable manner or to an unwarranted degree	manner
unwaveringly	unwaveringly%4:02:00::	we firmly believed it	with resolute determination	
unwillingly	unwillingly%4:02:00::	he had sinned against her unwillingly	in an unwilling manner	manner
unwisely	unwisely%4:02:00::	He acted foolishly when he agreed to come	without good sense or judgment	
unwittingly	unwittingly%4:02:00::	he unwittingly deleted the references	without knowledge or intention	
unwontedly	unwontedly%4:02:00::		in an unusual manner	manner
unworthily	unworthily%4:02:00::		in an unworthy manner	manner
up	up%4:02:00::	look up!	spatially or metaphorically from a lower to a higher position	
up	up%4:02:01::	they moved the meeting date up	to a later time	
up	up%4:02:02::	was transferred up to headquarters	to a more central or a more northerly place	
up	up%4:02:03::	he walked up and grabbed my lapels	nearer to the speaker	
up	up%4:02:05::	he turned up the volume	to a higher intensity	
up-country	up-country%4:02:00::	they live upcountry	to or in the interior of a country or region	
up_and_down	up_and_down%4:02:01::	he walked up and down the locker room	moving backward and forward along a given course	
up_and_down	up_and_down%4:02:03::	he eyed him up and down	alternately upward and downward	
up_here	up_here%4:02:00::	you shouldn't be up here	in a specified area or place	
up_the_stairs	up_the_stairs%4:02:00::	they lived upstairs	on a floor above	
up_to_now	up_to_now%4:02:00::	So far he hasn't called	used in negative statement to describe a situation that has existed up to this point or up to the present time	
up_to_now	up_to_now%4:02:01::	no suspect has been found to date	prior to the present time	
uphill	uphill%4:02:00::	this street lay uphill	upward on a hill or incline	
uphill	uphill%4:02:01::	she was talking uphill	against difficulties	
uppermost	uppermost%4:02:00::	the blade turned uppermost	in or into the highest position	
uppermost	uppermost%4:02:01::	say what comes uppermost	in or into the most prominent position, as in the mind	
uppishly	uppishly%4:02:00::	they snobbishly excluded their less wealthy friends from the party	in a snobbish manner	manner
uprightly	uprightly%4:02:00::		in an upright position	
uprightly	uprightly%4:02:01::	he acted honorably	in an honorable manner	manner
upriver	upriver%4:02:00::		toward the source or against the current	
uproariously	uproariously%4:02:00::	hilariously funny	in a hilarious manner	manner
upside_down	upside_down%4:02:00::	the box was lying on the floor upside down	in an inverted manner	manner
upstage	upstage%4:02:00::	the dancers were directed to move upstage	at or toward the rear of the stage	
upstairs	upstairs%4:02:00::	they lived upstairs	on a floor above	
upstairs	upstairs%4:02:01::	she's a bit weak upstairs	with respect to the mind	
upstate	upstate%4:02:00::	he lives upstate New York	in or toward the northern parts of a state	
upstream	upstream%4:02:00::		toward the source or against the current	
uptown	uptown%4:02:00::		toward or in the upper part of town	
upward	upward%4:02:00::	look up!	spatially or metaphorically from a lower to a higher position	
upward	upward%4:02:01::	they moved the meeting date up	to a later time	
upwardly	upwardly%4:02:00::	look up!	spatially or metaphorically from a lower to a higher position	
upwards	upwards%4:02:00::	look up!	spatially or metaphorically from a lower to a higher position	
upwards	upwards%4:02:01::	they moved the meeting date up	to a later time	
upwind	upwind%4:02:00::	they flew upwind	in the direction opposite to the direction the wind is blowing	
upwind	upwind%4:02:01::	they were sailing leeward	toward the wind	
urbanely	urbanely%4:02:00::	`I had tea occasionally with the Duke,' said Mr. Eggers urbanely	in an urbane manner	manner
urgently	urgently%4:02:00::	health care reform is needed urgently	with great urgency	
usefully	usefully%4:02:00::	extra money could be usefully spent on this project	in a useful manner	manner
uselessly	uselessly%4:02:00::	the furniture was sitting around uselessly	in a useless manner	manner
usually	usually%4:02:00::	usually she was late	under normal conditions	
usuriously	usuriously%4:02:00::	prices are exorbitantly high in the capital	to an exorbitant degree	
utterly	utterly%4:02:00::	an absolutely magnificent painting	completely and without qualification; used informally as intensifiers	
uxoriously	uxoriously%4:02:00::	he kept deferring uxoriously to Mary	in a loving and uxorious manner	manner
vacantly	vacantly%4:02:00::	she was staring vacantly into the room	in a vacant manner	manner
vacuously	vacuously%4:02:00::		in a vacuous manner	manner
vaguely	vaguely%4:02:00::	he looked vaguely familiar	in a vague way	
vainly	vainly%4:02:00::	he looked for her in vain	to no avail	
valiantly	valiantly%4:02:00::	he fought valiantly until the end	with valor; in a valiant manner	manner
validly	validly%4:02:00::	this may not validly be done	with validity; in a valid manner	manner
valorously	valorously%4:02:00::	he fought valiantly until the end	with valor; in a valiant manner	manner
vanishingly	vanishingly%4:02:00::	errors are vanishingly rare	so as to disappear or approach zero	
vapidly	vapidly%4:02:00::	a vapidly smiling salesman	in a vapid manner	manner
variably	variably%4:02:00::	it will be variably cloudy	with variation; in a variable manner or to a variable degree	manner
variously	variously%4:02:00::	the alternatives that are variously represented by the participants	in diverse ways	
vastly	vastly%4:02:00::	He had vastly overestimated his resources	to an exceedingly great extent or degree	
vauntingly	vauntingly%4:02:00::	he talked big all evening	in a boastful manner	manner
vehemently	vehemently%4:02:00::	he vehemently denied the accusations against him	in a vehement manner	manner
venally	venally%4:02:00::	he acted dishonestly when he gave the contract to his best friend	in a corrupt and deceitful manner	manner
vengefully	vengefully%4:02:00::	he plotted vindictively against his former superiors	in a vindictive, revengeful manner	manner
venomously	venomously%4:02:00::		in a very malevolent manner	manner
ventrally	ventrally%4:02:00::		in a ventral location or direction	
verbally	verbally%4:02:00::	he had a habit of using nouns verbally	as a verb	
verbally	verbally%4:02:01::	verbally expressive	by means of language	
verbatim	verbatim%4:02:00::	he repeated her remarks verbatim	using exactly the same words	
verbosely	verbosely%4:02:00::	she explained her ideas verbosely	in a verbose manner	manner
verily	verily%4:02:00::	I verily think so	in truth; certainly; ; - Ps 37:3	
vertically	vertically%4:02:00::	a gallery quite often is added to make use of space vertically as well as horizontally	in a vertical direction	
very	very%4:02:00::	she was very gifted	used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal	
very	very%4:02:01::	on the very next page	precisely so	
very_fast	very_fast%4:02:00::	she finished the assignment in no time	in a relatively short time	
very_loudly	very_loudly%4:02:00::		a direction in music; to be played very loudly	
very_much	very_much%4:02:01::	I feel a lot better	to a very great degree or extent	
very_much_like	very_much_like%4:02:00::		in a similar way	
very_softly	very_softly%4:02:00::		a direction in music; to be played very softly	
very_well	very_well%4:02:00::	she doesn't feel first-rate today	quite well	
very_well	very_well%4:02:01::		an expression of agreement normally occurring at the beginning of a sentence	
vexatiously	vexatiously%4:02:00::		in a vexatious manner	manner
vicariously	vicariously%4:02:00::	she enjoyed the wedding vicariously	indirectly, as, by, or through a substitute	
vice_versa	vice_versa%4:02:00::	she hates him and vice versa	with the order reversed	
viciously	viciously%4:02:00::	he was viciously attacked	in a vicious manner	manner
victoriously	victoriously%4:02:00::	Virginia had defended her land victoriously	in a victorious manner	manner
videlicet	videlicet%4:02:00::		as follows	
